"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P056","Poa-F","Poa-P","F","F","P","Poa","Poa",1,2,2.52088333333333,0.524733333333333,3.04561666666666
"P057","Poa-P","Des-F","F","P","F","Poa","Des",2,2,1.93348333333333,0.976183333333333,2.90966666666666
"P058","Poa-P","Des-P","F","P","P","Poa","Des",2,2,0.843433333333333,2.02733333333333,2.87076666666666
"P059","Poa-P","Nar-F","F","P","F","Poa","Nar",2,2,1.95448333333333,1.73923333333333,3.69371666666666
"P060","Poa-P","Nar-P","F","P","P","Poa","Nar",2,2,1.25943333333333,1.55748333333333,2.81691666666666
"P061","Poa-P","Phl-F","F","P","F","Poa","Phl",2,2,0.597433333333333,2.08388333333333,2.68131666666666
"P062","Poa-P","Phl-P","F","P","P","Poa","Phl",2,2,0.542233333333333,2.00263333333333,2.54486666666666
"P063","Poa-P","Poa-F","F","P","F","Poa","Poa",1,2,0.452833333333333,2.09223333333333,2.54506666666666
"P064","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.38218333333333,2.06143333333333,3.44361666666666
"P065","Des-F","Des-F","F","F","F","Des","Des",1,1,1.12708333333333,0.815383333333333,1.94246666666666
"P066","Des-P","Des-P","F","P","P","Des","Des",1,1,1.05933333333333,0.974283333333333,2.03361666666666
"P067","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.31163333333333,1.43333333333333,2.74496666666666
"P068","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.51963333333333,0.903383333333333,2.42301666666666
"P069","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,0.689333333333333,0.598083333333334,1.28741666666667
"P070","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.268083333333333,0.0734,0.341483333333333
"P071","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,0.828633333333334,1.25763333333333,2.08626666666666
"P072","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.30388333333333,1.24293333333333,2.54681666666666
"P073","Des-F","Des-F","F","F","F","Des","Des",1,1,1.48233333333333,0.738533333333333,2.22086666666666
"P074","Des-P","Des-P","F","P","P","Des","Des",1,1,1.26488333333333,0.850283333333333,2.11516666666666
"P075","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.33778333333333,1.44018333333333,2.77796666666666
"P076","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.06178333333333,1.44673333333333,2.50851666666666
"P077","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,0.711433333333333,0.463633333333333,1.17506666666667
"P078","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.401983333333333,0.386883333333333,0.788866666666666
"P079","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,0.467733333333333,0.978333333333333,1.44606666666667
"P080","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.38413333333333,1.69898333333333,3.08311666666666
"P081","Des-F","Des-F","F","F","F","Des","Des",1,1,0.700783333333334,1.28133333333333,1.98211666666666
"P082","Des-P","Des-P","F","P","P","Des","Des",1,1,1.04213333333333,0.739383333333333,1.78151666666666
"P083","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.33413333333333,1.44583333333333,2.77996666666666
"P084","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.37458333333333,1.29053333333333,2.66511666666666
"P085","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,0.554283333333333,0.460233333333333,1.01451666666667
"P086","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.312183333333333,0.409633333333333,0.721816666666666
"P087","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,1.01983333333333,1.18658333333333,2.20641666666666
"P088","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.78898333333333,0.980833333333333,2.76981666666666
"P089","Des-F","Des-F","P","F","F","Des","Des",1,1,0.284583333333334,0.446733333333334,0.731316666666668
"P090","Des-F","Des-P","P","F","P","Des","Des",1,2,0.269033333333334,0.409433333333334,0.678466666666668
"P091","Des-F","Nar-F","P","F","F","Des","Nar",2,2,0.396733333333333,0.645933333333333,1.04266666666667
