"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P001","Des-F","Des-F","F","F","F","Des","Des",1,1,0.9084625,2.4503625,3.358825
"P002","Des-F","Des-P","F","F","P","Des","Des",1,2,1.0542625,2.0999625,3.154225
"P003","Des-F","Nar-F","F","F","F","Des","Nar",2,2,1.1159625,1.7242625,2.840225
"P004","Des-F","Nar-P","F","F","P","Des","Nar",2,2,0.8869125,2.3520125,3.238925
"P005","Des-F","Phl-F","F","F","F","Des","Phl",2,2,1.3830625,1.6949125,3.077975
"P006","Des-F","Phl-P","F","F","P","Des","Phl",2,2,1.2937125,1.9553625,3.249075
"P007","Des-F","Poa-F","F","F","F","Des","Poa",2,2,0.8190125,2.1194125,2.938425
"P008","Des-F","Poa-P","F","F","P","Des","Poa",2,2,1.1644125,2.5344125,3.698825
"P009","Des-P","Des-F","F","P","F","Des","Des",1,2,2.0103125,1.0358125,3.046125
"P010","Des-P","Des-P","F","P","P","Des","Des",1,1,1.0654125,1.6517625,2.717175
"P011","Des-P","Nar-F","F","P","F","Des","Nar",2,2,0.6027125,2.7042125,3.306925
"P012","Des-P","Nar-P","F","P","P","Des","Nar",2,2,1.7586625,1.6654125,3.424075
"P013","Des-P","Phl-F","F","P","F","Des","Phl",2,2,2.4273125,0.9508125,3.378125
"P014","Des-P","Phl-P","F","P","P","Des","Phl",2,2,1.7318125,1.6248625,3.356675
"P015","Des-P","Poa-F","F","P","F","Des","Poa",2,2,0.6212125,2.4479625,3.069175
"P016","Des-P","Poa-P","F","P","P","Des","Poa",2,2,1.8287625,1.2043625,3.033125
"P017","Nar-F","Des-F","F","F","F","Nar","Des",2,2,2.6979625,0.8151625,3.513125
"P018","Nar-F","Des-P","F","F","P","Nar","Des",2,2,1.8553125,1.2709125,3.126225
"P019","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.3809125,2.2249625,3.605875
"P020","Nar-F","Nar-P","F","F","P","Nar","Nar",1,2,2.9233125,1.1731625,4.096475
"P021","Nar-F","Phl-F","F","F","F","Nar","Phl",2,2,2.1482625,1.5119625,3.660225
"P022","Nar-F","Phl-P","F","F","P","Nar","Phl",2,2,2.6973125,1.4954625,4.192775
"P023","Nar-F","Poa-F","F","F","F","Nar","Poa",2,2,1.1199625,2.7873125,3.907275
"P024","Nar-F","Poa-P","F","F","P","Nar","Poa",2,2,2.4088625,1.1191125,3.527975
"P025","Nar-P","Des-F","F","P","F","Nar","Des",2,2,1.3464125,1.4440625,2.790475
"P026","Nar-P","Des-P","F","P","P","Nar","Des",2,2,2.3476625,1.6834625,4.031125
"P027","Nar-P","Nar-F","F","P","F","Nar","Nar",1,2,1.1869125,2.0179625,3.204875
"P028","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.9823625,2.1419625,4.124325
"P029","Nar-P","Phl-F","F","P","F","Nar","Phl",2,2,2.5384625,1.6442125,4.182675
"P030","Nar-P","Phl-P","F","P","P","Nar","Phl",2,2,2.3334625,1.4018625,3.735325
"P031","Nar-P","Poa-F","F","P","F","Nar","Poa",2,2,1.5225125,1.8008125,3.323325
"P032","Nar-P","Poa-P","F","P","P","Nar","Poa",2,2,1.6952625,1.8098125,3.505075
"P033","Phl-F","Des-F","F","F","F","Phl","Des",2,2,1.4806625,1.2758125,2.756475
"P034","Phl-F","Des-P","F","F","P","Phl","Des",2,2,1.7399625,1.1851625,2.925125
"P035","Phl-F","Nar-F","F","F","F","Phl","Nar",2,2,0.9489125,2.1452125,3.094125
"P036","Phl-F","Nar-P","F","F","P","Phl","Nar",2,2,2.2629625,2.1664125,4.429375
"P037","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,2.1189125,1.8172625,3.936175
"P038","Phl-F","Phl-P","F","F","P","Phl","Phl",1,2,2.5363625,1.5373625,4.073725
"P039","Phl-F","Poa-F","F","F","F","Phl","Poa",2,2,0.6915125,2.6725625,3.364075
"P040","Phl-F","Poa-P","F","F","P","Phl","Poa",2,2,1.3365125,2.0430125,3.379525
"P041","Phl-P","Des-F","F","P","F","Phl","Des",2,2,1.0756625,1.5068625,2.582525
"P042","Phl-P","Des-P","F","P","P","Phl","Des",2,2,1.2022625,2.0425625,3.244825
"P043","Phl-P","Nar-F","F","P","F","Phl","Nar",2,2,0.9737125,2.6872625,3.660975
"P044","Phl-P","Nar-P","F","P","P","Phl","Nar",2,2,1.8834125,1.9927125,3.876125
"P045","Phl-P","Phl-F","F","P","F","Phl","Phl",1,2,1.3549625,2.2747625,3.629725
"P046","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,2.0169125,2.0198125,4.036725
"P047","Phl-P","Poa-F","F","P","F","Phl","Poa",2,2,1.2302125,2.1641125,3.394325
"P048","Phl-P","Poa-P","F","P","P","Phl","Poa",2,2,1.6578125,1.6392125,3.297025
"P049","Poa-F","Des-F","F","F","F","Poa","Des",2,2,1.5767125,1.2849625,2.861675
"P050","Poa-F","Des-P","F","F","P","Poa","Des",2,2,1.4404625,1.7914125,3.231875
"P051","Poa-F","Nar-F","F","F","F","Poa","Nar",2,2,1.6827625,1.4860125,3.168775
"P052","Poa-F","Nar-P","F","F","P","Poa","Nar",2,2,1.9725125,1.5116125,3.484125
"P053","Poa-F","Phl-F","F","F","F","Poa","Phl",2,2,2.0340125,0.8925125,2.926525
"P054","Poa-F","Phl-P","F","F","P","Poa","Phl",2,2,2.2649125,1.0663125,3.331225
"P055","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,1.4618125,1.5734625,3.035275
"P056","Poa-F","Poa-P","F","F","P","Poa","Poa",1,2,2.2611625,0.7723625,3.033525
"P057","Poa-P","Des-F","F","P","F","Poa","Des",2,2,1.4852125,1.0865125,2.571725
"P058","Poa-P","Des-P","F","P","P","Poa","Des",2,2,1.5234125,1.9329125,3.456325
"P059","Poa-P","Nar-F","F","P","F","Poa","Nar",2,2,1.3784625,2.1802625,3.558725
"P060","Poa-P","Nar-P","F","P","P","Poa","Nar",2,2,1.1037625,2.3055125,3.409275
"P061","Poa-P","Phl-F","F","P","F","Poa","Phl",2,2,1.4273125,1.9939125,3.421225
"P062","Poa-P","Phl-P","F","P","P","Poa","Phl",2,2,1.7873125,2.0643125,3.851625
"P063","Poa-P","Poa-F","F","P","F","Poa","Poa",1,2,0.9242625,2.6050625,3.529325
"P064","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.3670625,1.3584625,2.725525
"P065","Des-F","Des-F","F","F","F","Des","Des",1,1,1.3615125,1.0449125,2.406425
"P066","Des-P","Des-P","F","P","P","Des","Des",1,1,1.5826625,1.6116625,3.194325
"P067","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.8534125,1.9335625,3.786975
"P068","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.6830625,1.2062625,2.889325
"P069","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.9494625,1.8090625,3.758525
"P070","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,1.9975625,1.4867125,3.484275
"P071","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,1.3967125,1.9639125,3.360625
"P072","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.9535125,1.3256125,3.279125
"P073","Des-F","Des-F","F","F","F","Des","Des",1,1,1.7958125,0.5618625,2.357675
"P074","Des-P","Des-P","F","P","P","Des","Des",1,1,0.8574125,1.8025125,2.659925
"P075","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.9032625,2.0054125,3.908675
"P076","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.7260625,2.4328125,4.158875
"P077","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,2.2051625,1.4179625,3.623125
"P078","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,1.6561125,1.9565125,3.612625
"P079","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,1.4012125,2.0672625,3.468475
"P080","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.4262125,1.7354125,3.161625
"P081","Des-F","Des-F","F","F","F","Des","Des",1,1,0.9311125,1.3809625,2.312075
"P082","Des-P","Des-P","F","P","P","Des","Des",1,1,1.4455625,1.4122625,2.857825
"P083","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.9998125,2.1530125,4.152825
"P084","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.7070125,1.7141125,3.421125
"P085","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.4396625,1.9792625,3.418925
"P086","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,2.0388625,2.0605125,4.099375
"P087","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,1.5571625,1.5218125,3.078975
"P088","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,2.1555625,1.0333625,3.188925
"P089","Des-F","Des-F","P","F","F","Des","Des",1,1,0.1840125,0.2925625,0.476575
"P090","Des-F","Des-P","P","F","P","Des","Des",1,2,0.0962,0.1861,0.2823
"P091","Des-F","Nar-F","P","F","F","Des","Nar",2,2,0.1233,0.2675625,0.3908625
"P092","Des-F","Nar-P","P","F","P","Des","Nar",2,2,0.2993625,0.2200125,0.519375
"P093","Des-F","Phl-F","P","F","F","Des","Phl",2,2,0.4546125,0.3129625,0.767575
"P094","Des-F","Phl-P","P","F","P","Des","Phl",2,2,0.5651125,0.1979,0.7630125
"P095","Des-F","Poa-F","P","F","F","Des","Poa",2,2,0.4125625,0.3198125,0.732375
"P096","Des-F","Poa-P","P","F","P","Des","Poa",2,2,0.3766125,0.1877625,0.564375
"P097","Des-P","Des-F","P","P","F","Des","Des",1,2,0.3192125,0.0389,0.3581125
"P098","Des-P","Des-P","P","P","P","Des","Des",1,1,0.1867625,0.2981625,0.484925
"P099","Des-P","Nar-F","P","P","F","Des","Nar",2,2,0.2237,0.4115125,0.6352125
"P100","Des-P","Nar-P","P","P","P","Des","Nar",2,2,0.1704,0.2358625,0.4062625
"P101","Des-P","Phl-F","P","P","F","Des","Phl",2,2,0.2867625,0.4470625,0.733825
"P102","Des-P","Phl-P","P","P","P","Des","Phl",2,2,0.2808625,0.3995125,0.680375
"P103","Des-P","Poa-F","P","P","F","Des","Poa",2,2,0.2883625,0.3054125,0.593775
"P104","Des-P","Poa-P","P","P","P","Des","Poa",2,2,0.2355625,0.3042125,0.539775
"P105","Nar-F","Des-F","P","F","F","Nar","Des",2,2,0.2499125,0.117,0.3669125
"P106","Nar-F","Des-P","P","F","P","Nar","Des",2,2,0.3362625,0.1299,0.4661625
"P107","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.2462125,0.2428625,0.489075
"P108","Nar-F","Nar-P","P","F","P","Nar","Nar",1,2,0.3970625,0.2998125,0.696875
"P109","Nar-F","Phl-F","P","F","F","Nar","Phl",2,2,0.4868125,0.3478625,0.834675
"P110","Nar-F","Phl-P","P","F","P","Nar","Phl",2,2,0.5837625,0.4199625,1.003725
"P111","Nar-F","Poa-F","P","F","F","Nar","Poa",2,2,0.4664125,0.3461125,0.812525
"P112","Nar-F","Poa-P","P","F","P","Nar","Poa",2,2,0.4551625,0.3867125,0.841875
"P113","Nar-P","Des-F","P","P","F","Nar","Des",2,2,0.1256,0.5005625,0.6261625
"P114","Nar-P","Des-P","P","P","P","Nar","Des",2,2,0.2990125,0.3459125,0.644925
"P115","Nar-P","Nar-F","P","P","F","Nar","Nar",1,2,0.2265125,0.7208625,0.947375
"P116","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.4957125,0.3991125,0.894825
"P117","Nar-P","Phl-F","P","P","F","Nar","Phl",2,2,0.5246125,0.5527125,1.077325
"P118","Nar-P","Phl-P","P","P","P","Nar","Phl",2,2,0.5174625,0.5232125,1.040675
"P119","Nar-P","Poa-F","P","P","F","Nar","Poa",2,2,0.4835625,0.5073125,0.990875
"P120","Nar-P","Poa-P","P","P","P","Nar","Poa",2,2,0.6437625,0.4372625,1.081025
"P121","Phl-F","Des-F","P","F","F","Phl","Des",2,2,0.3066625,0.3520125,0.658675
"P122","Phl-F","Des-P","P","F","P","Phl","Des",2,2,0.3720125,0.2828125,0.654825
"P123","Phl-F","Nar-F","P","F","F","Phl","Nar",2,2,0.2836125,0.4790625,0.762675
"P124","Phl-F","Nar-P","P","F","P","Phl","Nar",2,2,0.6126125,0.4839625,1.096575
"P125","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.5494125,0.3760125,0.925425
"P126","Phl-F","Phl-P","P","F","P","Phl","Phl",1,2,0.6378625,0.2755125,0.913375
"P127","Phl-F","Poa-F","P","F","F","Phl","Poa",2,2,0.6249625,0.4229125,1.047875
"P128","Phl-F","Poa-P","P","F","P","Phl","Poa",2,2,0.7589625,0.4082125,1.167175
"P129","Phl-P","Des-F","P","P","F","Phl","Des",2,2,0.2733625,0.5114625,0.784825
"P130","Phl-P","Des-P","P","P","P","Phl","Des",2,2,0.2256125,0.4873625,0.712975
"P131","Phl-P","Nar-F","P","P","F","Phl","Nar",2,2,0.3033625,0.8363125,1.139675
"P132","Phl-P","Nar-P","P","P","P","Phl","Nar",2,2,0.4873125,0.6454125,1.132725
"P133","Phl-P","Phl-F","P","P","F","Phl","Phl",1,2,0.3650625,0.7464625,1.111525
"P134","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.7410625,0.4950125,1.236075
"P135","Phl-P","Poa-F","P","P","F","Phl","Poa",2,2,0.3711125,0.5779625,0.949075
"P136","Phl-P","Poa-P","P","P","P","Phl","Poa",2,2,0.5461125,0.4684625,1.014575
"P137","Poa-F","Des-F","P","F","F","Poa","Des",2,2,0.2152125,0.4122625,0.627475
"P138","Poa-F","Des-P","P","F","P","Poa","Des",2,2,0.3676125,0.3918125,0.759425
"P139","Poa-F","Nar-F","P","F","F","Poa","Nar",2,2,0.2408125,0.6516625,0.892475
"P140","Poa-F","Nar-P","P","F","P","Poa","Nar",2,2,0.4123125,0.5090125,0.921325
"P141","Poa-F","Phl-F","P","F","F","Poa","Phl",2,2,0.3979125,0.5341625,0.932075
"P142","Poa-F","Phl-P","P","F","P","Poa","Phl",2,2,0.4211125,0.4630625,0.884175
"P143","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.3732625,0.6243125,0.997575
"P144","Poa-F","Poa-P","P","F","P","Poa","Poa",1,2,0.4822125,0.3293625,0.811575
"P145","Poa-P","Des-F","P","P","F","Poa","Des",2,2,0.3496125,0.4834625,0.833075
"P146","Poa-P","Des-P","P","P","P","Poa","Des",2,2,0.3592125,0.5317625,0.890975
"P147","Poa-P","Nar-F","P","P","F","Poa","Nar",2,2,0.2432625,0.4871625,0.730425
"P148","Poa-P","Nar-P","P","P","P","Poa","Nar",2,2,0.2776625,0.5443625,0.822025
"P149","Poa-P","Phl-F","P","P","F","Poa","Phl",2,2,0.5296625,0.4771125,1.006775
"P150","Poa-P","Phl-P","P","P","P","Poa","Phl",2,2,0.6987125,0.5061125,1.204825
"P151","Poa-P","Poa-F","P","P","F","Poa","Poa",1,2,0.5100625,0.5019625,1.012025
"P152","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.4362625,0.3588625,0.795125
"P153","Des-F","Des-F","P","F","F","Des","Des",1,1,0.1221,0.1481,0.2702
"P154","Des-P","Des-P","P","P","P","Des","Des",1,1,0.2935625,0.2717625,0.565325
"P155","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.3932125,0.3087625,0.701975
"P156","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.5343625,0.2952125,0.829575
"P157","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.4053125,0.4689125,0.874225
