"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P158","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.4854625,0.5417125,1.027175
"P159","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.4155125,0.6410625,1.056575
"P160","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.4300625,0.4178625,0.847925
"P161","Des-F","Des-F","P","F","F","Des","Des",1,1,0.1647,0.1627,0.3274
"P162","Des-P","Des-P","P","P","P","Des","Des",1,1,0.1531,0.2893125,0.4424125
"P163","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.3295125,0.4040625,0.733575
"P164","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.3833125,0.4599625,0.843275
"P165","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.4644125,0.3854125,0.849825
"P166","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.4979625,0.4448125,0.942775
"P167","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.3200125,0.5486625,0.868675
"P168","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.4208125,0.3145125,0.735325
"P169","Des-F","Des-F","P","F","F","Des","Des",1,1,0.1324,0.1319,0.2643
"P170","Des-P","Des-P","P","P","P","Des","Des",1,1,0.1191,0.162,0.2811
"P171","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.3160625,0.2799625,0.596025
"P172","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.5559625,0.1643,0.7202625
"P173","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.4220125,0.4997625,0.921775
"P174","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.5160625,0.4960125,1.012075
"P175","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.4062625,0.3641625,0.770425
"P176","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.5349125,0.2554125,0.790325
