"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P001","Des-F","Des-F","F","F","F","Des","Des",1,1,1.96500625,3.98185625,5.9468625
"P002","Des-F","Des-P","F","F","P","Des","Des",1,2,1.97435625,3.92855625,5.9029125
"P003","Des-F","Nar-F","F","F","F","Des","Nar",2,2,2.86095625,2.27300625,5.1339625
"P004","Des-F","Nar-P","F","F","P","Des","Nar",2,2,3.16830625,3.67620625,6.8445125
"P005","Des-F","Phl-F","F","F","F","Des","Phl",2,2,0.35540625,6.74090625,7.0963125
"P006","Des-F","Phl-P","F","F","P","Des","Phl",2,2,0.18480625,5.45935625,5.6441625
"P007","Des-F","Poa-F","F","F","F","Des","Poa",2,2,1.17725625,4.78460625,5.9618625
"P008","Des-F","Poa-P","F","F","P","Des","Poa",2,2,1.25445625,4.28360625,5.5380625
"P009","Des-P","Des-F","F","P","F","Des","Des",1,2,4.16200625,2.52150625,6.6835125
"P010","Des-P","Des-P","F","P","P","Des","Des",1,1,2.94660625,4.25805625,7.2046625
"P011","Des-P","Nar-F","F","P","F","Des","Nar",2,2,2.06080625,5.10930625,7.1701125
"P012","Des-P","Nar-P","F","P","P","Des","Nar",2,2,4.38855625,2.44270625,6.8312625
"P013","Des-P","Phl-F","F","P","F","Des","Phl",2,2,0.838703125,3.968953125,4.80765625
"P014","Des-P","Phl-P","F","P","P","Des","Phl",2,2,0.20295625,5.63545625,5.8384125
"P015","Des-P","Poa-F","F","P","F","Des","Poa",2,2,1.14225625,5.49170625,6.6339625
"P016","Des-P","Poa-P","F","P","P","Des","Poa",2,2,1.71585625,2.14025625,3.8561125
"P017","Nar-F","Des-F","F","F","F","Nar","Des",2,2,3.12545625,3.33135625,6.4568125
"P018","Nar-F","Des-P","F","F","P","Nar","Des",2,2,2.14455625,3.64915625,5.7937125
"P019","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,3.14380625,3.99145625,7.1352625
"P020","Nar-F","Nar-P","F","F","P","Nar","Nar",1,2,4.55475625,2.17805625,6.7328125
"P021","Nar-F","Phl-F","F","F","F","Nar","Phl",2,2,0.64010625,4.28465625,4.9247625
"P022","Nar-F","Phl-P","F","F","P","Nar","Phl",2,2,0.38855625,4.77070625,5.1592625
"P023","Nar-F","Poa-F","F","F","F","Nar","Poa",2,2,0.46265625,3.93195625,4.3946125
"P024","Nar-F","Poa-P","F","F","P","Nar","Poa",2,2,2.408753125,2.827903125,5.23665625
"P025","Nar-P","Des-F","F","P","F","Nar","Des",2,2,2.27450625,2.98955625,5.2640625
"P026","Nar-P","Des-P","F","P","P","Nar","Des",2,2,3.42060625,3.02970625,6.4503125
"P027","Nar-P","Nar-F","F","P","F","Nar","Nar",1,2,2.81050625,3.56925625,6.3797625
"P028","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,4.05420625,3.97145625,8.0256625
"P029","Nar-P","Phl-F","F","P","F","Nar","Phl",2,2,0.54040625,3.74405625,4.2844625
"P030","Nar-P","Phl-P","F","P","P","Nar","Phl",2,2,0.23100625,4.92485625,5.1558625
"P031","Nar-P","Poa-F","F","P","F","Nar","Poa",2,2,1.27355625,3.50810625,4.7816625
"P032","Nar-P","Poa-P","F","P","P","Nar","Poa",2,2,1.29120625,2.74555625,4.0367625
"P033","Phl-F","Des-F","F","F","F","Phl","Des",2,2,6.20550625,0.425956249999999,6.6314625
"P034","Phl-F","Des-P","F","F","P","Phl","Des",2,2,5.83330625,0.823206249999999,6.6565125
"P035","Phl-F","Nar-F","F","F","F","Phl","Nar",2,2,5.50680625,0.46380625,5.9706125
"P036","Phl-F","Nar-P","F","F","P","Phl","Nar",2,2,4.47650625,0.48950625,4.9660125
"P037","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.679753125,1.397053125,3.07680625
"P038","Phl-F","Phl-P","F","F","P","Phl","Phl",1,2,0.35470625,1.65750625,2.0122125
"P039","Phl-F","Poa-F","F","F","F","Phl","Poa",2,2,1.90545625,1.20445625,3.1099125
"P040","Phl-F","Poa-P","F","F","P","Phl","Poa",2,2,2.96810625,0.72810625,3.6962125
"P041","Phl-P","Des-F","F","P","F","Phl","Des",2,2,5.93040625,0.26660625,6.1970125
"P042","Phl-P","Des-P","F","P","P","Phl","Des",2,2,4.22040625,0.42450625,4.6449125
"P043","Phl-P","Nar-F","F","P","F","Phl","Nar",2,2,5.01665625,0.62045625,5.6371125
"P044","Phl-P","Nar-P","F","P","P","Phl","Nar",2,2,6.156853125,0.358303125,6.51515625
"P045","Phl-P","Phl-F","F","P","F","Phl","Phl",1,2,1.71950625,0.78550625,2.5050125
"P046","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,1.64945625,1.28210625,2.9315625
"P047","Phl-P","Poa-F","F","P","F","Phl","Poa",2,2,3.48650625,0.30040625,3.7869125
"P048","Phl-P","Poa-P","F","P","P","Phl","Poa",2,2,0.82260625,2.55380625,3.3764125
"P049","Poa-F","Des-F","F","F","F","Poa","Des",2,2,2.29055625,1.83435625,4.1249125
"P050","Poa-F","Des-P","F","F","P","Poa","Des",2,2,2.86905625,2.05240625,4.9214625
