"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P051","Poa-F","Nar-F","F","F","F","Poa","Nar",2,2,4.11085625,0.931956249999999,5.0428125
"P052","Poa-F","Nar-P","F","F","P","Poa","Nar",2,2,6.17490625,0.99695625,7.1718625
"P053","Poa-F","Phl-F","F","F","F","Poa","Phl",2,2,0.80615625,3.01455625,3.8207125
"P054","Poa-F","Phl-P","F","F","P","Poa","Phl",2,2,0.34875625,3.52145625,3.8702125
"P055","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,2.13985625,1.99435625,4.1342125
"P056","Poa-F","Poa-P","F","F","P","Poa","Poa",1,2,2.46275625,0.66025625,3.1230125
"P057","Poa-P","Des-F","F","P","F","Poa","Des",2,2,4.50125625,1.48675625,5.9880125
"P058","Poa-P","Des-P","F","P","P","Poa","Des",2,2,2.77850625,2.95980625,5.7383125
"P059","Poa-P","Nar-F","F","P","F","Poa","Nar",2,2,2.10000625,2.04475625,4.1447625
"P060","Poa-P","Nar-P","F","P","P","Poa","Nar",2,2,2.36080625,1.62375625,3.9845625
"P061","Poa-P","Phl-F","F","P","F","Poa","Phl",2,2,0.38135625,2.56125625,2.9426125
"P062","Poa-P","Phl-P","F","P","P","Poa","Phl",2,2,0.33765625,3.05675625,3.3944125
"P063","Poa-P","Poa-F","F","P","F","Poa","Poa",1,2,0.62810625,3.04720625,3.6753125
"P064","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.49015625,1.86700625,3.3571625
"P065","Des-F","Des-F","F","F","F","Des","Des",1,1,2.71525625,1.34365625,4.0589125
"P066","Des-P","Des-P","F","P","P","Des","Des",1,1,3.49730625,3.45230625,6.9496125
"P067","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,2.85645625,3.20790625,6.0643625
"P068","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,3.63120625,2.20210625,5.8333125
"P069","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.132403125,1.886553125,3.01895625
"P070","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,1.15165625,0.35965625,1.5113125
"P071","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,1.37460625,2.75115625,4.1257625
"P072","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.89155625,1.83175625,3.7233125
"P073","Des-F","Des-F","F","F","F","Des","Des",1,1,4.86445625,2.31215625,7.1766125
"P074","Des-P","Des-P","F","P","P","Des","Des",1,1,4.80330625,3.19705625,8.0003625
"P075","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,3.21070625,3.72290625,6.9336125
"P076","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,2.19605625,2.75390625,4.9499625
"P077","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.98970625,0.766606249999999,2.7563125
"P078","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,1.10430625,1.25565625,2.3599625
"P079","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,1.58965625,3.23770625,4.8273625
"P080","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.33295625,1.39460625,2.7275625
"P081","Des-F","Des-F","F","F","F","Des","Des",1,1,2.38463125,3.468709375,5.853340625
"P082","Des-P","Des-P","F","P","P","Des","Des",1,1,3.94335625,2.94635625,6.8897125
"P083","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,2.40800625,2.39790625,4.8059125
"P084","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,2.67075625,2.20365625,4.8744125
"P085","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.71210625,1.26035625,2.9724625
"P086","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.75635625,1.04200625,1.7983625
"P087","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,2.58335625,1.65380625,4.2371625
"P088","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.65170625,1.25595625,2.9076625
"P089","Des-F","Des-F","P","F","F","Des","Des",1,1,1.32170625,1.40405625,2.7257625
"P090","Des-F","Des-P","P","F","P","Des","Des",1,2,1.41090625,2.27415625,3.6850625
"P091","Des-F","Nar-F","P","F","F","Des","Nar",2,2,0.69085625,1.57075625,2.2616125
"P092","Des-F","Nar-P","P","F","P","Des","Nar",2,2,1.15365625,0.91585625,2.0695125
"P093","Des-F","Phl-F","P","F","F","Des","Phl",2,2,0.27360625,2.35865625,2.6322625
"P094","Des-F","Phl-P","P","F","P","Des","Phl",2,2,0.33235625,1.81735625,2.1497125
"P095","Des-F","Poa-F","P","F","F","Des","Poa",2,2,0.47710625,1.69065625,2.1677625
"P096","Des-F","Poa-P","P","F","P","Des","Poa",2,2,0.45130625,1.14940625,1.6007125
"P097","Des-P","Des-F","P","P","F","Des","Des",1,2,1.35775625,0.45510625,1.8128625
"P098","Des-P","Des-P","P","P","P","Des","Des",1,1,1.82360625,2.19160625,4.0152125
"P099","Des-P","Nar-F","P","P","F","Des","Nar",2,2,1.14690625,1.37025625,2.5171625
"P100","Des-P","Nar-P","P","P","P","Des","Nar",2,2,0.58500625,1.95325625,2.5382625
"P101","Des-P","Phl-F","P","P","F","Des","Phl",2,2,0.23005625,2.35830625,2.5883625
"P102","Des-P","Phl-P","P","P","P","Des","Phl",2,2,0.20575625,2.24460625,2.4503625
"P103","Des-P","Poa-F","P","P","F","Des","Poa",2,2,0.27715625,1.95915625,2.2363125
"P104","Des-P","Poa-P","P","P","P","Des","Poa",2,2,0.49755625,1.89105625,2.3886125
"P105","Nar-F","Des-F","P","F","F","Nar","Des",2,2,1.18600625,0.64460625,1.8306125
"P106","Nar-F","Des-P","P","F","P","Nar","Des",2,2,1.58120625,0.79930625,2.3805125
"P107","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.06840625,0.98850625,2.0569125
"P108","Nar-F","Nar-P","P","F","P","Nar","Nar",1,2,0.90855625,0.85040625,1.7589625
"P109","Nar-F","Phl-F","P","F","F","Nar","Phl",2,2,0.22075625,1.71015625,1.9309125
"P110","Nar-F","Phl-P","P","F","P","Nar","Phl",2,2,0.29635625,1.63830625,1.9346625
"P111","Nar-F","Poa-F","P","F","F","Nar","Poa",2,2,0.47815625,1.54050625,2.0186625
"P112","Nar-F","Poa-P","P","F","P","Nar","Poa",2,2,0.47115625,1.29380625,1.7649625
"P113","Nar-P","Des-F","P","P","F","Nar","Des",2,2,1.39575625,1.31375625,2.7095125
"P114","Nar-P","Des-P","P","P","P","Nar","Des",2,2,2.12390625,0.77420625,2.8981125
"P115","Nar-P","Nar-F","P","P","F","Nar","Nar",1,2,0.59170625,1.38735625,1.9790625
"P116","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.96590625,0.99205625,1.9579625
"P117","Nar-P","Phl-F","P","P","F","Nar","Phl",2,2,0.25180625,1.63620625,1.8880125
"P118","Nar-P","Phl-P","P","P","P","Nar","Phl",2,2,0.19925625,1.67840625,1.8776625
"P119","Nar-P","Poa-F","P","P","F","Nar","Poa",2,2,0.49940625,1.43360625,1.9330125
"P120","Nar-P","Poa-P","P","P","P","Nar","Poa",2,2,0.69835625,1.28115625,1.9795125
"P121","Phl-F","Des-F","P","F","F","Phl","Des",2,2,1.42470625,0.1684,1.59310625
"P122","Phl-F","Des-P","P","F","P","Phl","Des",2,2,2.41015625,0.18435625,2.5945125
"P123","Phl-F","Nar-F","P","F","F","Phl","Nar",2,2,1.51345625,0.23130625,1.7447625
"P124","Phl-F","Nar-P","P","F","P","Phl","Nar",2,2,1.58425625,0.1239,1.70815625
"P125","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.40900625,0.43050625,0.8395125
"P126","Phl-F","Phl-P","P","F","P","Phl","Phl",1,2,0.56390625,0.43505625,0.9989625
"P127","Phl-F","Poa-F","P","F","F","Phl","Poa",2,2,1.19185625,0.24475625,1.4366125
"P128","Phl-F","Poa-P","P","F","P","Phl","Poa",2,2,1.00295625,0.21970625,1.2226625
"P129","Phl-P","Des-F","P","P","F","Phl","Des",2,2,1.24090625,0.304356249999999,1.5452625
"P130","Phl-P","Des-P","P","P","P","Phl","Des",2,2,2.35850625,0.29850625,2.6570125
"P131","Phl-P","Nar-F","P","P","F","Phl","Nar",2,2,1.785053125,0.279775,2.064828125
"P132","Phl-P","Nar-P","P","P","P","Phl","Nar",2,2,1.51835625,0.33560625,1.8539625
"P133","Phl-P","Phl-F","P","P","F","Phl","Phl",1,2,0.32770625,0.57400625,0.9017125
"P134","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.59205625,0.47785625,1.0699125
"P135","Phl-P","Poa-F","P","P","F","Phl","Poa",2,2,0.73685625,0.44895625,1.1858125
"P136","Phl-P","Poa-P","P","P","P","Phl","Poa",2,2,1.05240625,0.1384,1.19080625
"P137","Poa-F","Des-F","P","F","F","Poa","Des",2,2,1.45230625,0.45595625,1.9082625
"P138","Poa-F","Des-P","P","F","P","Poa","Des",2,2,1.89065625,0.32770625,2.2183625
"P139","Poa-F","Nar-F","P","F","F","Poa","Nar",2,2,1.37415625,0.54240625,1.9165625
"P140","Poa-F","Nar-P","P","F","P","Poa","Nar",2,2,1.79590625,0.45560625,2.2515125
"P141","Poa-F","Phl-F","P","F","F","Poa","Phl",2,2,0.19155625,1.03885625,1.2304125
"P142","Poa-F","Phl-P","P","F","P","Poa","Phl",2,2,0.29245625,1.13945625,1.4319125
"P143","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.458206249999999,1.16610625,1.6243125
"P144","Poa-F","Poa-P","P","F","P","Poa","Poa",1,2,0.97010625,0.35635625,1.3264625
"P145","Poa-P","Des-F","P","P","F","Poa","Des",2,2,1.63760625,0.54395625,2.1815625
"P146","Poa-P","Des-P","P","P","P","Poa","Des",2,2,1.40035625,0.79855625,2.1989125
"P147","Poa-P","Nar-F","P","P","F","Poa","Nar",2,2,0.94370625,0.71680625,1.6605125
"P148","Poa-P","Nar-P","P","P","P","Poa","Nar",2,2,0.77065625,0.82775625,1.5984125
"P149","Poa-P","Phl-F","P","P","F","Poa","Phl",2,2,0.21155625,0.95565625,1.1672125
"P150","Poa-P","Phl-P","P","P","P","Poa","Phl",2,2,0.36075625,1.12620625,1.4869625
"P151","Poa-P","Poa-F","P","P","F","Poa","Poa",1,2,0.66830625,0.77480625,1.4431125
"P152","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.76320625,0.62785625,1.3910625
"P153","Des-F","Des-F","P","F","F","Des","Des",1,1,1.26935625,1.29615625,2.5655125
"P154","Des-P","Des-P","P","P","P","Des","Des",1,1,1.20170625,1.30960625,2.5113125
"P155","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.67325625,1.12535625,2.7986125
"P156","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,1.04400625,0.79025625,1.8342625
"P157","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.37310625,0.33820625,0.7113125
"P158","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.469756249999999,0.69975625,1.1695125
"P159","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.55875625,1.04785625,1.6066125
"P160","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.77080625,0.73465625,1.5054625
"P161","Des-F","Des-F","P","F","F","Des","Des",1,1,1.74605625,2.00555625,3.7516125
"P162","Des-P","Des-P","P","P","P","Des","Des",1,1,1.61275625,1.33895625,2.9517125
"P163","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.23670625,1.21775625,2.4544625
"P164","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,1.07720625,1.06040625,2.1376125
"P165","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.20665625,0.28415625,0.4908125
"P166","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.49225625,0.67475625,1.1670125
"P167","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.53380625,1.07440625,1.6082125
"P168","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.64730625,0.56290625,1.2102125
"P169","Des-F","Des-F","P","F","F","Des","Des",1,1,1.13385625,1.58870625,2.7225625
"P170","Des-P","Des-P","P","P","P","Des","Des",1,1,1.22040625,1.96145625,3.1818625
"P171","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.19575625,0.95360625,2.1493625
"P172","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,1.33975625,0.45675625,1.7965125
"P173","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.43450625,0.41375625,0.8482625
"P174","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,0.42750625,0.47940625,0.9069125
"P175","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,0.85530625,0.52945625,1.3847625
"P176","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,0.88885625,0.48400625,1.3728625
